,original_text,polarity,score
390,stop blaming consequence capitalism communism socialism challenge URL ,-0.1,negative
394,socialism answer climate change green capitalism enough URL ,0.1666666666666666,positive
400,fate earth threatened else capitalism system seek profit socialism URL ,0.1666666666666666,positive
401,fuck boogie as hippie earth day shit founded money company political institution URL ,-0.1,negative
404,way socialism survives sucking capitalism dry cannot survive unless attache itsel URL ,-0.1,negative
405,socialism fire department saving house capitalism insurance company denying claim toriesout johnsonout85 ,0.15,positive
413,socialism fire dept tryna save burning house capitalism insurance company denying claim URL ,0.1704545454545454,positive
414,want bring capitalism full totalitarian fascism amp blame socialism socia URL ,1.0,positive
416,please stop blaming socialism communism consequence capitalism thanks advance URL ,-0.2,negative
418,socialism inherently populist populist socialism populism defends capitalism hollow demagogy ,0.2333333333333333,positive
420,rent based capitalism thing ownership socialism ,-0.15,negative
421,dinesh souza two direction america could go dinesh souza explains two different direction american URL ,0.16,positive
423,suffering capitalism would take capitalism get better would try socialism ,-0.19125,negative
425,franklin delano roosevelt used social democracy save capitalism deng xiaoping used market save socialism ,-0.4,negative
426,praise china rewarding bank effort made antithesis capitalism amp tenet socialism URL ,0.5,positive
429,nigerian intellectual first foremost hustler point asking hustler whether URL ,0.1999999999999999,positive
430,introducing new series socialism 101 posting new issue bi monthly basis covering various URL ,-0.125,negative
433,april nftgiveaway 72 huri triangular flag rt amp like triangular flag check pinned tweet USER face screaming fear sale URL URL ,-0.6922743055555556,negative
435,opensea link bio 007 eth free nft giveaway party popper drop eth address follow amp rt URL ,0.4333333333333333,positive
436,biggest giveaway guy send 15 people nft eth retweet like follow fire ,0.0681818181818181,positive
440,choosing random person send 500 eth wake drop addy follow bell rt check mark button good night zz ,0.2142857142857142,positive
443,59 00 00 shib first 5900 people follows retweet drop eth wallet address ,-0.0625,negative
444,USER URL psychedelic conversation shivering hillside lost feathered puppy bark URL ,0.0666666666666667,positive
446,something exciting coming fire one unique amp exciting nft project came across glad URL ,0.4333333333333333,positive
449,300 eth amp 7500 eth tonight 20 winner let ,0.1933333333333333,positive
450,USER URL psychedelic conversation shivering hillside lost feathered puppy bark th URL ,-0.0333333333333333,negative
455,getting coinbase card actually thing pushed using crypto basically every part fina URL ,0.225,positive
456,USER USER USER done check mark button check mark button hundred point USER USER USER USER URL ,0.4166666666666667,positive
460,live deciduous tree URL ,-0.05,negative
462,whitelisted smart contract hottest nft collection deposit trade thes URL ,-0.05,negative
476,look fed balance sheet expansion stopped shortly 9tn mark reached fed total asset ha URL ,0.175,positive
486,leading cause death people age 18 45 fentanyl od thanks much joe biden border policy di URL ,0.1,positive
488,republican suing democrat took knee blm riot tried destabilize nat URL ,0.2,positive
490,desantis signed law bill stripping disney special exemption stop woke act banning crt URL ,0.5,positive
491,reminder today marjorie taylor greene sleep spy employ one 20 year want talk URL ,0.25,positive
494,right backhand index pointing light skin tone angry face URL ,0.1666666666666666,positive
495,key promoting disinformation pretending one fighting URL ,-0.1666666666666666,negative
496,canadian press laying URL ,0.3,positive
498,joe biden going fly gas guzzling air force one almost 300 mile seattle today sign executive order URL ,0.05,positive
499,obama say worried disinformation weakening democracy really mean truth weakening ruling class ,0.3333333333333333,positive
500,united state sovereign country constitutionally accountable united nation globa URL ,0.25,positive
501,afternoon joe biden said individual wear mask airplane evening white house URL ,0.2333333333333333,positive
505,wimbledon ban player russia belarus URL missing something player URL ,-0.25,negative
506,breaking joe biden announced seek election elected 85 end term nancy pe URL ,0.2,positive
507,definitely seeing vaccinated patient struggling getting even minor infection harm URL ,0.25,positive
510,big gap side skull crossbones face tear joy URL ,0.2,positive
512,forget men world URL ,-0.1851851851851852,negative
513,USER three year data mask v mask location fact anyone still defends masking pure URL ,0.1,positive
515,took winston churchill several year convince public hitler evil world economic forum 100x worse ,0.2142857142857142,positive
516,mask mandate amp vaxx mandate come end forgive forget kind place hold URL ,-0.3,negative
519,really anyones interest know libs tiktok archive collect publi URL ,-0.0666666666666666,negative
520,oh sorry supposed care people struggle regulation negatively impact URL ,-0.1555555555555555,negative
521,math getting right answer feeling ideology florida educating ch URL ,0.05,positive
522,mandate began two week slow spread two year later cdc said mask plane tw URL ,0.0681818181818181,positive
523,concerned judge taking power unelected bureaucrat ignore science relish URL ,0.2,positive
550,USER true plus food problem already happening africa eu immigration problem URL ,0.5,positive
588,USER liz cheney even republican name rino straight URL ,-0.6999999999999998,negative
607,biden administration appealed reinstate mask public transit may play time URL ,-0.3125,negative
608,happy friday topic evening include inflation ukraine biden energy elonmusk desantis disney URL ,-0.1,negative
610,amid revolt democrat president joe biden appears standing firm decision end title 42 URL ,-0.3571428571428571,negative
611,american federation teacher president randi weingarten claim legislation like florida parental right URL ,0.2083333333333333,positive
612,airline weigh return banned passenger mask mandate fall URL ,0.3083333333333333,positive
613,opinion biden policy seems intended help ukraine enough look good enough ukrainian vic URL ,-0.2083333333333333,negative
614,democrat midterm number improving fact might getting worse republican nearly pull maj URL ,-0.1666666666666666,negative
615,10 year yield telling u high risk something breaking system gold silver URL ,0.7,positive
617,gdx trying find support maintain current uptrend channel gold URL ,0.15,positive
620,u housing affordability worse housing crash 2007 debt income dti ratio URL ,0.0333333333333333,positive
626,breaking saudi prince al waleed bin talal say elon musk offer come close intrinsic value tw URL ,0.0333333333333333,positive
746,filed case greene clearly living rent free head smiling face sunglass URL ,0.0214285714285714,positive
758,afraid judy blume right wing censor apparently URL ,0.8,positive
759,straight parent four straight older sibling straight friend surrounded straight people throughout entir URL ,0.236111111111111,positive
760,2016 julian assange refused publish russian military intelligence dump russian invasion crim URL ,0.1,positive
761,moving issue URL ,0.0537878787878787,positive
762,make sure friend neighbor know choice november URL ,0.1,positive
763,germany teaching holocaust mandatory includes visit concentration camp museum etc URL ,-0.1,negative
769,actual screenshot newsmax edit URL ,0.2454545454545454,positive
771,yesterday USER accused grooming sexualizing child member USER gop URL ,-0.15,negative
772,know hate win people like stand let happen please watch incredible speec URL ,-0.2,negative
773,lone gay member michigan senate lgbtq community attack staunch URL ,0.1375,positive
774,watch amazing wife USER USER USER later morning hatewontwin URL ,0.5,positive
792,capitalism unsustainable socialism communism capitalism economy politics inflation freedom liberal URL ,0.1,positive
810,first three month 2022 13 00 afghan newborn died malnutrition stole country URL ,-0.0714285714285714,negative
811,scale corporate looting america burglary billion overdraft fee 30 billion ,0.25,positive
831,simply quantitative data saying anything based anybody politics fedex ceo fred smith told URL ,-1.0,negative
832,sponsored content plan finally exposed URL ,0.25,positive
834,survey primary care physician conducted 11 month ago revealed 10 doctor believe covid 19 vaccine URL ,0.6000000000000001,positive
836,doj wednesday appealed monday ruling federal judge florida struck biden administration URL ,0.2142857142857142,positive
837,implantable microchip marketed ultimate convenience goal create internet bodie URL ,0.35,positive
839,fire explosion destroy 20 food processing plant moment biden warns food shortage URL ,0.35,positive
847,USER try buy twitter suddenly gov want open investigation yet member congress URL ,0.3666666666666667,positive
849,breaking 11 year old girl died four day threatened forced take covid vaccine ,0.1111111111111111,positive
852,quietly released paper showing ivermectin miraculous treatment cancer medium outlet said word ,0.125,positive
853,baby boy story getting URL ,0.409090909090909,positive
854,getting ready dye easter egg price normal dozen 11 since last year ,0.3352272727272727,positive
855,zuckerberg spend 419 million zelensky election also make wonder URL ,0.8,positive
860,USER think framer never envisioned career politician u fix convention stat URL ,1.0,positive
867,another coincidence URL ,0.4,positive
885,police car light new phishing scam police car light already 650 00 stolen single individual going happen lot peop URL ,0.0833333333333333,positive
916,show change life URL URL ,1.0,positive
918,mommy jim cramer said bear mkt march 25 oh boy resumed rolling floor laughing ,0.875,positive
919,celebrate victory agonize defeat mindset turning trader ,-0.25,negative
920,found sign nyc describing fed trying fight inflation URL ,0.5,positive
922,tsla bull chasing earnings breakout opening bell spy qq URL ,0.4,positive
924,develop consistent method build confidence 100 day turn 100 day faster realize ,0.5,positive
925,daytrading almost year way made living since graduated URL ,-0.05,negative
926,never give never lose hope tough time persevere may life change world URL ,0.3,positive
929,know better opportunity learn strategically trade USER indebted mentor URL ,0.2,positive
930,USER get back even though shorted tesla bastard rolling floor laughing ,0.1,positive
941,market thought short dated option flow volatility monday pushing amazing rec URL ,0.3571428571428571,positive
948,funny people act money get think like course wh URL ,-0.1,negative
952,balance faith family health relationship social life make deposit withdrawal daily check th URL ,-0.2318181818181818,negative
956,would part USER matter market te URL ,0.025,positive
961,nice bounce back week thanks USER watching oil gold rate etc learned lot last URL ,0.1,positive
962,hate say need increase oil amp gas output immediately extraordinary time demand extraordinary measure ,0.4,positive
969,never celebrate early URL ,0.2083333333333333,positive
972,real fed fund rate u lowest seen since 1974 fed lost credibi URL ,0.2722222222222222,positive
977,love russian people tell truth please watch share URL ,0.1666666666666666,positive
980,eye main star every movie whether URL ,0.5,positive
982,global market collapse zero bound monetary policy longer effective interest rate URL ,0.3333333333333333,positive
1013,today issued executive order prohibiting use called covid 19 vaccine passport legislature URL ,-0.2166666666666666,negative
1029,bomb blast rip mosque northern afghanistan killing least 33 people ,0.6,positive
1035,fed best could sorry failed goodbye transitory e URL ,0.3,positive
1038,high voltage france send heavy artillery ukraine french president emmanuel macron told local newspaper ouest france th URL ,0.2121212121212121,positive
1065,delighted announce USER elected USER governing board become ninth URL ,1.0,positive
1066,collaborating austrian national library haus der geschichte sterreich develop german URL ,0.1,positive
1083,shocked learn russian aggression ukraine caused severe casualty also led dest URL ,-0.8,negative
1088,eu partner respond swiftly decisively blatant breach international law ,-0.8,negative
1089,worst expectation materialized early hour morning ukraine become victim anot URL ,0.8,positive
1091,written 50 travel story USER taken unexpected corne URL ,0.5,positive
1092,good discussion fm USER iranian deputy fm USER necessary last step reach URL ,0.048076923076923,positive
1094,jewish british austrian written reception attended USER getting cit URL ,-0.1,negative
1095,thank llm alumnus USER austrian minister finance kind visit USER yesterday URL ,0.2,positive
1098,today able speak chancellor exchequer USER greenfinance covid recovery URL ,0.8,positive
1099,great welcome USER london wish best new role austrian federal minister URL ,1.0,positive
1100,together fm USER fm USER fm USER met ukrainian pm USER offer URL ,0.625,positive
1102,congrats world renowned opera amp concert singer sir bryn terfel title kammers nger career URL ,0.2666666666666666,positive
1103,missing winter skiing cable car feeling safe amp sound cable car selfie head green URL ,0.65,positive
1104,great thank outgoing USER president rgen bischof dedicated work amp valuable support URL ,0.5,positive
1207,attorney say referring speaker pelosi crime punishable death treason nancy pelo URL ,-0.2055555555555555,negative
1208,marjorie taylor greene asked video uncovered earlier year ali alexander said URL ,0.8,positive
1209,collection remember response URL ,-0.0449999999999999,negative
1210,greene hung aguero november 2020 dc rally accompanied stage following speech URL ,0.3,positive
1215,running community child child grandchild time newyorkers URL ,-0.2,negative
1216,environment one top issue everyday earthday must protect beautiful planet recyclin URL ,-0.0333333333333333,negative
1217,important issue sd46 health climate inflation wage newyork ballstonlake ballstonspa URL ,-0.55,negative
1219,gop leader know difference truth lie care vote gop thanks URL ,0.16,positive
1231,ism worst given maddow expose lie tonight think right quest URL ,-0.09375,negative
1232,ron desantis fine tax raised floridian mean escalate culture war URL ,-0.3333333333333333,negative
1233,let get straight desantis disney say gay retaliation bill could increase million floridian pr URL ,0.25,positive
1234,USER desantis fucked constituent mad disney like say gay URL ,0.35,positive
1235,pretending main agenda florida child republican party florida led URL ,0.3333333333333333,positive
1236,today gov desantis gop ally florida legislature silenced black brown voice attack URL ,0.4333333333333334,positive
1238,running governor build florida stop division hate bring state together fina URL ,0.035,positive
1239,floridian struggling pay rent desantis want taxpayer pay feud disney ,0.6,positive
1240,desantis fool would anything libs including putting floridian debt florida taxpayer cou URL ,-0.3833333333333333,negative
1241,gop turning kevin mccarthy jenna elli marjorietaylorgreene shitting pant live tv URL ,0.05,positive
1246,question think pelosi traitor country greene answering question said ha URL ,0.2142857142857142,positive
1302,happy friday topic evening include inflation ukraine biden energy elonmusk desantis disney URL ,0.5,positive
1311,creator USER doxed USER URL ,-0.125,negative
1318,tonight USER jack mcpherrin USER USER USER USER USER URL ,0.1,positive
1319,tonight USER USER talk jack mcpherrin USER USER USER URL ,-0.0416666666666666,negative
1320,tonight 9est 6pt gt USER delta airline fly list pursuit USER northern triangle URL ,-0.05,negative
1322,lot cover evening hope tune congressman USER USER USER URL ,0.1,positive
1339,tonight USER USER USER USER USER USER URL ,0.55,positive
1340,congressman USER USER USER USER USER USER amp URL ,-0.015625,negative
1341,bobby eberle prime time please check real story USER tonight pm central time host URL ,0.15,positive
1342,tonight 9est 6pt gt USER libs tiktok drama USER biden nh trip USER URL ,0.6950000000000001,positive
1346,historical spotlight war loss historicalspotlight history sullivanbrothers URL ,0.5633333333333334,positive
1393,blessed URL ,-0.05,negative
1402,average family paying extra 530 per month bidenflation ,-0.1666666666666666,negative
1403,biden said reckless spending plan would save america biden lied american worse URL ,-0.15,negative
1404,bidenflation causing american pay everything chart increasing gasoline 48 chart increasing meat fish egg 13 URL ,0.5,positive
1405,bidenflation cost average american family extra 200 year URL ,0.1121212121212121,positive
1406,inflation trump left office today bidenflation ,-0.05,negative
1407,new congressional study found average american family paying 530 extra per month bidenflation ,-0.03125,negative
1408,damn vladimir putin woozy face buildingbackbetter bidenisalaughingstock bidenworstpresidentever bidenflation URL ,-0.1,negative
1409,bidenisalaughingstock biden bidenhasdementia bidenisalaughingstock bidenflation bidenworstpresidentever URL ,0.4181818181818181,positive
1410,putin price hike sticking american know everything changed worst moment biden got URL ,-0.5,negative
1412,ighest level least two decade URL inflation economy fed behindthecurve bidenflation ,0.1676767676767676,positive
1413,lady gentleman nice warmable video see resident biden shaking hand one URL ,0.7500000000000001,positive
1414,united state higher inflation united kingdom germany italy japan canada france URL ,0.0681818181818181,positive
1416,according wsj trillion biden stimulus wasteful nothing covid spent URL ,1.0,positive
1417,preventing mtg running office trial run preventing trump running office ,-0.45,negative
1418,disney found call u right always ,0.375,positive
1423,stop printing money already ,0.15625,positive
1425,jim jordan would make fantastic speaker house ,0.25,positive
1427,republican take back house jim jordan speaker v mccarthy say yes thought URL ,-0.1,negative
1428,republican like yeah scorched earth motherfucker let fight dems time tough republica URL ,0.4,positive
1429,week brought USER talk platform upcoming midterms2022 URL ,0.3,positive
1438,20 food packaging plant burn matter month one medium talking one asking URL ,0.15,positive
1440,today historic day nw appearance worst president USER modern time th URL ,0.0666666666666666,positive
1442,pfizer employee whistle blower soon revealing evidence mrna production distribution URL ,-0.3333333333333333,negative
1443,immigration enforcement law enforcement suspend law banish law make mock URL ,0.4000000000000001,positive
1445,really hard believe lawyer questioning mtg best left could ,0.5,positive
1499,chill sec meme econtwitter stockmarket URL ,0.8,positive
1501,two way calculate gdp see news hear politician ask URL ,0.0625,positive
1503,submitted thesis eiu today going change profile info soon part time stu URL ,-0.4333333333333333,negative
1506,long take crisis change people preference belief spoiler week pers URL ,0.6,positive
1507,take second report poliscirumors econjobrumors socjobrumors USER violation google URL ,0.4,positive
1509,lobbyist federal reserve control economy branch government change URL ,-0.2916666666666667,negative
1510,join u next week discussion economic policy response covid 19 lesson future recession URL ,0.1875,positive
1511,labor shortage 2021 attributable enhanced unemployment benefit latest letter say since st URL ,0.4,positive
1515,USER USER USER update tonight friday head upper east bar hotel solamar eta URL ,-0.5,negative
1521,econtwitter thought johnny depp v amber heard ,0.1363636363636363,positive
1523,richest country europe germany release 3bn acquire floating lng terminal u projected URL ,0.1363636363636363,positive
1525,econtwitter red shift u economic politics including war america consumer nobody see URL ,0.5,positive
1529,year earthday share recent research difference statistical property regional globa URL ,0.2,positive
1532,domestic inequality across soccer club increase decrease restriction minimum number home grow URL ,0.0625,positive
1539,rural pakistan parent value distance school characteristic test score infrastruct URL ,-0.05,negative
1540,central bank digital currency community currency reinvention money susana mart belmonte URL ,0.0406249999999999,positive
1541,kamala harris completely unburdened job expectation apparently speech writer URL ,0.1625,positive
1542,sarcasm used school teacher URL ,0.2708333333333333,positive
1543,know jan 6th setup ,0.3333333333333333,positive
1544,new iniquitous california bill ab 223 legalize infanticide killing baby 28 day old people URL ,-0.1666666666666666,negative
1545,utterly incompetent amp contemptible federalreserve dithered year transitory inflation steadily rose URL ,-0.2916666666666667,negative
1546,never catch nudity porn racist remark fly without warning pouting face pouting face pouting face pouting face face symbol mouth even guy eliminat URL ,0.4166666666666667,positive
1549,people want tax rich pissed disney going pay tax ,0.4,positive
1552,USER USER USER USER USER USER individual go dc poor URL ,0.25,positive
1553,depose pope suspected heresy tyranny st robert bellarmine instruction read dr taylor marsha URL ,-0.0833333333333333,negative
1560,nancy pelosi held accountable fully responsible january 6th ,0.8,positive
1565,answer tax rich answer shrink size govt govt spending ,0.85,positive
1588,make pow currently moving thinking face bar chart star URL stock stockstowatch URL ,0.3333333333333333,positive
1591,pow USER licence 049 2022 successfully granted cover major gold anomaly pow 100 owned tati pr URL ,0.45,positive
1593,pow ongoing news flow encouraging USER across project plenty still going lot ne URL ,0.46875,positive
1595,earth day one day year elon musk help earth year round dizzy earthday2022 globe showing Americas URL ,0.1428571428571428,positive
1600,seen lot support USER pow appreciated amp great team pushing URL ,0.1666666666666666,positive
1601,haneti diamond drill programme successfully completed 14 assay due anytime previous rn URL ,0.2,positive
1610,pow broken year donwtrend boom bowt time possibly craziest undervalued resource sto URL ,-0.2083333333333333,negative
1614,monthly stoch pierced floor next month certainly interesting 3p subject news URL ,0.075,positive
1615,USER amp USER stratergy amp built company mid cap portfolio potential URL ,-0.0833333333333333,negative
1617,tracking barc time reckon ready thinking face bar chart go back gap around 160 target URL ,0.2166666666666666,positive
1618,monday podcast joined USER ceo USER discus many aspect URL ,-0.1,negative
1621,everyone love USER mila feeling though pow engine fire URL ,0.125,positive
1626,map show lidar data south ballarat satellite imagery victoria extensive historical work small URL ,0.5,positive
1628,pow USER sort ceo want back investing high risk reward stock URL ,0.25,positive
1629,swazcharts discord 160 hour backtesting video content alone massively valuable resource URL ,0.1,positive
1630,profit holder mila ee come pow USER first time 251 day 171 business day URL ,0.1363636363636363,positive
1631,received lot question recently USER pow put response hop URL ,0.0681818181818181,positive
1640,everything elon musk touch turn gold ,-0.5,negative
1643,biden today putin inflation putin stock market putin immigration ,-0.6749999999999999,negative
1651,amp 500 close nasdaq 100 fall URL ,0.0681818181818181,positive
1652,philly table looking getting family visa move shanghai place URL ,0.7,positive
1655,joe rogan elon musk james wood dave chappelle warrior free speech ,-1.0,negative
1656,nasdaq fall floor long tsla stay green care lol ,0.425,positive
1662,week zoom call elon huge equity commitment convinced banker USER deadly serious URL ,-0.1666666666666666,negative
